"submission_id","response","row_number","framing"
11628,"2/5 of the students have a 100% success rate.","12|12|0|0|0","high"
11628,"3/5 of the students have a 25% or lower success rate.","9|9|3|0|0","low"
11628,"Most of the students have at least a 75% success rate.","9|9|9|3|3","high"
11628,"The majority of students have a more than average success rate.","9|9|9|0|0","high"
11620,"Some of the group failed while others did great.","12|12|0|0|0","high"
11620,"The majority of the tests were good.","12|12|3|3|3","high"
11620,"The group got the first three questions all right.","9|9|3|3|3","high"
11620,"The group all answered the last question wrong.","9|9|9|3|3","low"
11620,"The group got the majority of questions right.","9|9|9|9|9","high"
11620,"A few in the group got every question wrong.","3|3|0|0|0","low"
11620,"Everyone got all of them wrong.","0|0|0|0|0","low"
11620,"Two people got every question wrong.","12|12|9|0|0","low"
11620,"The majority of the people got perfect scores.","12|12|12|0|0","high"
11620,"The majority of people passed.","9|9|9|0|0","high"
11620,"Three people failed the last few questions.","12|12|9|9|9","low"
11627,"full marks were achieved by a number of pupils","12|12|3|0|0","high"
11627,"no student achieved above 25%","3|3|3|0|0","low"
11627,"Green Valley have been working hard to improve maths results across the board with success","3|3|0|0|0","high"
11627,"most pupils reach high levels in their tests","9|9|9|0|0","high"
11627,"Riverside have struggled to achieve the high grades and undoubtedly will continue","12|12|12|12|12","low"
11627,"not one child has achieved full marks","9|9|9|9|9","low"
11627,"there are a number of children who failed to score a single point in their test","12|12|12|0|0","low"
11627,"Boys are consistently scoring highly in their tests","9|9|0|0|0","high"
11627,"sadly there are children that are not reaching more than 25%","12|12|12|3|3","low"
11627,"There is a consistent performance achieved by all students","3|3|3|3|3","high"
11627,"only 2 pupils scored any points in the test","12|12|0|0|0","low"
11622,"60% of students fail all questions","12|12|0|0|0","low"
11622,"no student scored higher than 75%","9|9|9|9|9","low"
11622,"3/5 students got atleast 3 questions correct","3|3|3|0|0","high"
11622,"every student scored 75% or higher","12|12|9|9|9","high"
11622,"40% of students failed every question","12|12|12|0|0","low"
11622,"40% of students failed every question","9|9|9|0|0","low"
11622,"2/5 students achieved 75% or above","9|9|3|0|0","high"
11622,"all students got 75% or higher","12|12|12|9|9","high"
11622,"40% of students failed","12|12|3|0|0","low"
11622,"40% of students got 100%","12|12|3|3|3","high"
11622,"40%$ of students got high grades","12|12|9|3|3","high"
11623,"All students got at least 75% correct","9|9|9|9|9","high"
11623,"Over half students got less than half correct","12|12|3|0|0","low"
11623,"Majority of students got less then 80%","12|12|9|9|9","low"
11623,"No-one got anything right","0|0|0|0|0","low"
11623,"Not all students got top results","12|12|12|9|9","low"
11623,"40% of students got 100%","12|12|3|3|3","high"
11623,"Over half students got correct answers","3|3|3|0|0","high"
11623,"Everyone got everything correct","12|12|12|12|12","high"
11623,"All students achieved the same mark","3|3|3|3|3","high"
11623,"Over half got most questions correct","9|9|9|0|0","high"
11623,"More than 50% failed","9|9|0|0|0","low"
