submission_id,response,row_number,framing,,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred
11643,40% of students only achieving 25%,12|12|12|3|3,low,,num,num,Non-mono,down,4,2.5,no,high,,,,,,,,
11643,"40% of students achieving excellent full marks, 100%\nWith 60% achieving 24% and above",12|12|3|3|3,high,,,,,,,,,,,,,,,,,
11621,no students answered all of the questions correctly,9|9|9|3|3,low,,Non-num,Non-num,down,up,0,10,no,high,,,,,,,,
11621,students achieved well in the earlier questions,3|3|0|0|0,high,,Non-num,Non-num,up,up,2.5,5,no,high,,,,,,,,
11621,all students answered the majority of questions correctly,12|12|9|9|9,high,,Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
11621,the majority of students answered all of the questions correctly,12|12|12|0|0,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11621,not all students answered all of the questions correctly,12|12|12|9|9,low,,Non-num,Non-num,up,up,10,10,yes,high,,,,,,,,
11621,all students answered all of the questions correctly,12|12|12|12|12,high,,Non-num,Non-num,up,up,10,10,no,high,,,,,,,,
11621,some students could not answer the majority of questions correctly,12|12|12|3|3,low,,Non-num,Non-num,up,up,2,6,yes,high,,,,,,,,
11621,some students answered the majority of questions correctly,9|9|0|0|0,high,,Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
11621,no students answered the majority of questions correctly,3|3|3|3|3,low,,Non-num,Non-num,down,up,0,6,no,high,,,,,,,,
11621,all students failed,0|0|0|0|0,low,,,,,,,,,,,,,,,,,
11621,some students answered no questions correctly,12|12|9|0|0,low,,Non-num,Non-num,up,down,2,0,no,high,,,,,,,,
11637,Most students in Green Valley got a perfect or near perfect score on their math test.,12|12|9|3|3,high,,Non-num,Non-num,up,down,6,10,no,high,,,,,,,,
11637,Almost all the students in green valley got a perfect or near perfect school.,12|12|9|0|0,high,,Non-num,Non-num,Non-mono,,9,10,no,high,,,,,,,,
11637,Over a quarter of Riverside students did not answer a single question right on their test.,12|12|12|0|0,low,,Non-num,Non-num,up,Non-mono,3,0,yes,high,,,,,,,,
11637,No one in green valley got a perfect score and a quarter didn't answer any questions correctly on their math test.,9|9|9|0|0,high,,Non-num,Non-num,down,up,0,10,no,high,Non-num,Non-num,Non-mono,down,2.5,0,yes,high
11637,100% of the students in Green valley scored very well on their math test.,12|12|9|9|9,high,,,,,,,,,,,,,,,,,
11637,Over a quarter of Green Valley students scored a perfect score on their math test.,12|12|3|0|0,high,,Non-num,Non-num,up,up,3,10,no,high,,,,,,,,
11637,More than half of green valley students scored a perfect score on their test.,12|12|12|3|3,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11637,Everyone in riverside got the same score on their math test.,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11637,100% of green passed their math test with more than half getting a perfect score.,12|12|12|9|9,high,,num,Non-num,up,up,10,6,no,high,Non-num,Non-num,up,up,6,10,no,high
11637,Only a little more than a quarter of riverside students passed their math test.,9|9|3|0|0,low,,Non-num,Non-num,down,up,3,6,no,high,,,,,,,,
11637,Riverside students did terrible on their math test. Not a single question was answered correctly.,0|0|0|0|0,low,,Non-num,no,down,,0,,yes,high,,,,,,,,
11624,All students got correct answers,9|9|3|3|3,high,,Non-num,Non-num,up,up,10,2,no,high,,,,,,,,
11624,Over half of the students got no correct answers,12|12|0|0|0,low,,Non-num,Non-num,up,down,6,0,no,high,,,,,,,,
11624,Over half of the students got all wrong answers,9|9|0|0|0,low,,Non-num,Non-num,up,up,6,10,no,low,,,,,,,,
11624,Students had more incorrect answers than correct,9|9|3|0|0,low,,Non-num,Non-num,up,up,2,6,no,low,,,,,,,,
11624,All students had more than 75% correct,9|9|9|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11624,Some students got much less than 50% correct,12|12|9|3|3,low,,Non-num,num,up,down,2,4,no,high,,,,,,,,
11624,A majority of students got most answer wrong,12|12|3|3|3,low,,Non-num,Non-num,up,up,6,6,no,low,,,,,,,,
11624,Over half of students got 100% correct,12|12|12|0|0,high,,Non-num,num,up,up,6,10,no,high,,,,,,,,
11624,All students got some correct answers,3|3|3|3|3,high,,Non-num,Non-num,up,up,10,2,no,high,,,,,,,,
11624,Over 75% of questions asked were answered incorrectly,3|3|0|0|0,low,,num,no,up,,7.5,,no,low,,,,,,,,
11624,Over 75% of questions asked were answered correctly,12|12|12|9|9,high,,num,no,up,,7.5,,no,high,,,,,,,,
11634,Some of the students got every question correct,12|12|0|0|0,high,,Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
11634,Most of the students passed the exam.,12|12|9|0|0,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11634,Most of the students got only a 3rd of the questions correct.,12|12|3|3|3,low,,Non-num,Non-num,up,Non-mono,6,4,no,high,,,,,,,,
11634,Most of the students got every question correct.,12|12|12|3|3,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11634,"All of our students got over 3 quarters of the questions correct, some even got every question correct.",12|12|9|9|9,high,,Non-num,Non-num,up,up,10,7,no,high,Non-num,Non-num,up,up,2,10,no,high
11634,Some students couldn't get all the questions correct.,12|12|12|9|9,low,,Non-num,Non-num,up,up,2,10,yes,high,,,,,,,,
11634,Some students didn't get any of the questions correct.,9|9|9|0|0,low,,Non-num,Non-num,up,down,2,0,yes,high,,,,,,,,
11634,All of the students tried their hardest.,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11634,Most of the questions answered were incorrect.,12|12|3|0|0,low,,Non-num,no,up,,6,,no,low,,,,,,,,
11634,Barely any of the questions were answered correctly.,3|3|3|0|0,low,,Non-num,no,up,,1,,no,high,,,,,,,,
11634,Most of the students answered all questions correctly.,12|12|12|0|0,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11626,"Despite the exacting exam standards, almost half the students achieved a maximum score",12|12|9|0|0,high,,Non-num,Non-num,down,up,4,10,no,high,,,,,,,,
11626,"Almost half the students achieved a maximum score, with the rest answering the questions correctly at a mimumum rate of 75%",12|12|9|9|9,high,,Non-num,Non-num,down,up,4,10,no,high,Non-num,num,up,up,6,7.5,no,high
11626,"All the students' responses scored well-below 50%, with none achieving a passable rate",3|3|3|3|3,low,,Non-num,num,up,down,10,4,no,high,,,,,,,,
11626,"All the students failed completely, unable to answer a single question correctly",0|0|0|0|0,low,,Non-num,no,up,,10,0,no,low,no,Non-num,,down,,0,no,low
11626,"Almost half the students failed to answer a single question correctly, and another achieved a score well-below 50%",9|9|3|0|0,low,,Non-num,Non-num,down,Non-mono,4,1,no,low,num,Non-num,Non-mono,down,1,4,no,high
11626,Almost 3/4 of the students achieved a maximum score,12|12|12|3|3,high,,Non-num,Non-num,down,up,7,10,no,high,,,,,,,,
11626,"Despite the challenging and exacting standards of the exam, over 25% of the students achieved a passable exam score",9|9|0|0|0,high,,num,Non-num,up,up,2.5,6,no,high,,,,,,,,
11626,"Almost 3/4 of the students achieved a 75%, despite the difficult questions asked",9|9|9|3|3,high,,Non-num,num,down,Non-mono,7,7.5,no,high,,,,,,,,
11626,Almost half of the students failed to achieve a passable score,12|12|9|3|3,low,,Non-num,Non-num,down,up,4,6,no,low,,,,,,,,
11626,"All students failed to achieve a passable score, and almost half failed to answer a single question correctly",3|3|3|0|0,low,,Non-num,Non-num,up,up,10,6,no,low,Non-num,Non-num,down,Non-mono,4,0,no,low
11626,"Though some students achieved impressive results, almost half the students showed difficulties completing the exam to a maximum standard",12|12|12|9|9,low,,Non-num,Non-num,down,up,4,,no,low,,,,,,,,
11628,None of the students passed their tests.,0|0|0|0|0,low,,Non-num,Non-num,down,up,0,6,no,low,,,,,,,,
11628,Most students only had a 25% success rate.,9|9|3|3|3,low,,Non-num,no,up,,6,2.5,no,low,,,,,,,,
11628,2/5 of the students didn't pass any of their tests.,12|12|3|0|0,low,,num,Non-num,Non-mono,down,4,0,yes,high,,,,,,,,
11628,None of the students had more than a 25% success rate at their tests.,3|3|3|0|0,low,,Non-num,num,down,down,0,2.5,no,high,,,,,,,,
11628,The success rate is more than 75%  at this school.,12|12|9|9|9,high,,,,,,,,,,,,,,,,,
11628,Most of the students got a 100% success rate.,12|12|12|9|9,low,,Non-num,num,up,up,6,7.5,no,high,,,,,,,,
11628,2/5 of the students have a 75% success rate.,9|9|0|0|0,high,,Non-num,num,Non-mono,Non-mono,4,7.5,no,high,,,,,,,,
11628,2/5 of the students have a 100% success rate.,12|12|0|0|0,high,,Non-num,num,Non-mono,Non-mono,4,10,no,high,,,,,,,,
11628,3/5 of the students have a 25% or lower success rate.,9|9|3|0|0,low,,Non-num,num,Non-mono,down,6,2.5,no,high,,,,,,,,
11628,Most of the students have at least a 75% success rate.,9|9|9|3|3,high,,Non-num,num,up,up,6,7.5,no,high,,,,,,,,
11628,The majority of students have a more than average success rate.,9|9|9|0|0,high,,,,,,,,,,,,,,,,,
11632,No students got all the answers correct,9|9|9|3|3,low,,Non-num,Non-num,down,up,0,10,no,high,,,,,,,,
11632,2 students got every answer wrong,3|3|3|0|0,low,,num,Non-num,Non-mono,up,4,10,no,low,,,,,,,,
11632,Some students got most answers correct,9|9|9|0|0,high,,Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
11632,Some pupils got most answers wrong,12|12|12|3|3,low,,Non-num,Non-num,up,up,2,6,no,low,,,,,,,,
11632,2 students got every answer incorrect,12|12|9|0|0,low,,num,Non-num,Non-mono,up,2,10,no,low,,,,,,,,
11632,Only 2 students got any answers correct,3|3|0|0|0,low,,num,Non-num,down,up,2,1,no,high,,,,,,,,
11632,Some students got the majority of their answers wrong,12|12|9|3|3,low,,Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
11632,Some students made some mistakes,12|12|12|9|9,low,,Non-num,Non-num,up,up,2,2,no,low,,,,,,,,
11632,Every student got answers correct,3|3|3|3|3,high,,Non-num,Non-num,up,up,10,2,no,high,,,,,,,,
11632,No student got a single answer correct,0|0|0|0|0,low,,Non-num,Non-num,down,Non-mono,0,0,no,high,,,,,,,,
11632,Some students got all the answers correct,12|12|0|0|0,high,,Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
11635,"All students are getting at least a quarter of questions incorrect, with 2/5 of students not getting any correct answers",9|9|3|0|0,low,,Non-num,Non-num,up,up,10,3,no,low,num,Non-num,Non-mono,down,4,0,yes,high
11635,only a few students are struggling to complete 3 of the questions,3|3|0|0|0,high,,Non-num,num,down,Non-mono,3,3,no,low,,,,,,,,
11635,the majority of students are passing the exams,9|9|3|3|3,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11635,a large majority of students are failing the exam,3|3|3|0|0,low,,Non-num,no,up,down,7,5,no,low,,,,,,,,
11635,a large majority of students are passing the exam,12|12|12|0|0,high,,Non-num,no,up,,7,6,no,high,,,,,,,,
11635,none of the students were able to answer a quarter of the questions,9|9|9|0|0,low,,Non-num,Non-num,down,up,0,2.5,no,high,,,,,,,,
11635,a majority of students are able to answer a quarter of the questions correctly,12|12|3|0|0,high,,Non-num,Non-num,up,up,6,2.5,no,high,,,,,,,,
11635,all students were unable to correctly answer 3/4 of questions correctly,3|3|3|3|3,low,,Non-num,Non-num,up,up,10,7.5,no,low,,,,,,,,
11635,all students correctly answered 3/4 of questions,12|12|9|9|9,high,,Non-num,Non-num,up,up,10,7.5,no,high,,,,,,,,
11635,a majority of students were unable to correctly answer 1/4 of questions,12|12|9|3|3,low,,Non-num,Non-num,up,up,6,2.5,no,low,,,,,,,,
11635,a majority of students were able to answer 3/4 correctly,12|12|9|0|0,high,,Non-num,Non-num,up,up,6,7.5,no,high,,,,,,,,
11636,Riverside test scores show that it is difficult to achieve a 100% pass rate at this school. It is likely that 0% would be the average score presented.,12|12|0|0|0,low,,,,,,,,,,,,,,,,,
11636,Riverside students have found it challenging to achieve over 80% pass rates and 2 out of 5 children will be likely to fail and not achieve even over 50% pass rate,9|9|9|3|3,low,,Non-num,num,up,down,10,8,no,low,num,num,Non-mono,down,4,3,no,high
11636,The results of the tests at Green Valley are challenging and student aptitude and lots of revision and hard work could achieve an optimum score and pass rate,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11636,At Green Valley it is quite possible to to achieve success on some of the questions presented in the tests but perhaps not all of them for all pupils.,3|3|0|0|0,high,,,,,,,,,,,,,,,,,
11636,There is a chance that Riverside students will have 0% pass rate with the questions. It may be difficult to achieve over 50% mark.,3|3|3|0|0,low,,Non-num,num,up,up,2,6,no,high,,,,,,,,
11636,It is possible for some students to achieve well over the 60% pass rate and it is very achievable for all students to gain correct answers throughout the testing.,9|9|3|3|3,high,,num,num,Non-mono,down,4,0,no,high,,,,,,,,
11636,It is quite probable that at least 2 out of 5 students will get 0% pass rate at Riverside on the testing,12|12|3|0|0,low,,num,num,up,down,6,6,no,high,,,,,,,,
11636,It is likely at Green Valley that 3 out of 5 students will receive well over 60% and have a high chance of achieving this score,9|9|9|0|0,high,,num,num,Non-mono,up,6,,no,high,,,,,,,,
11636,3 out of 5 students will answer questions on the testing correctly and 2 out of 5 will achieve over 60% pass rate,9|9|3|0|0,high,,num,Non-num,Non-mono,up,6,2,no,high,num,num,Non-mono,up,4,6,no,high
11636,It is showing that 2 out of 5 students at Riverside will not achieve at least over 50% on the tests. Some students will not answer all questions correctly,12|12|9|3|3,low,,num,num,Non-mono,up,4,5,yes,high,Non-num,Non-num,up,up,2,10,no,high
11636,Green Valley will be able to achieve 100% pass rate on testing and this can be 2 out of 5 students and at least 3 out of 5 students will gain a 60% pass rate,12|12|9|0|0,high,,num,num,Non-mono,Non-mono,4,10,no,high,num,num,up,Non-mono,6,6,no,high
11639,"At Riverside, 60% of students scored 25% or lower. 40% scored 0%. The highest score being only 75%.",9|9|3|0|0,low,,num,num,Non-mono,down,6,2.5,no,high,num,num,Non-mono,down,4,0,no,high
11639,"At Riverside, 60% of students scored 0.",12|12|0|0|0,low,,num,num,Non-mono,down,6,0,no,high,,,,,,,,
11639,"At Green Valley, 40% of students scored 100%!",12|12|3|0|0,high,,num,num,Non-mono,up,4,10,no,high,,,,,,,,
11639,"At Green Valley, 40% of the students scored very high.",9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11639,"At Green Valley, all students scored 75% or higher!",12|12|9|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11639,"At Riverside, all students passed this exam, with the same score.",12|12|12|12|12,low,,Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
11639,"At Riverside, not all students scored perfectly",12|12|12|9|9,low,,Non-num,Non-num,up,up,10,10,yes,high,,,,,,,,
11639,"At Riverside, all students scored extremely low, the highest score being only 25%.",3|3|0|0|0,low,,,,,,,,,,,,,,,,,
11639,"At Green Valley, almost half of student scored extremely high.",9|9|3|3|3,high,,,,,,,,,,,,,,,,,
11639,"At Green Valley, more than half of students scored extremely high with the majority of those scores being 100%!",12|12|9|0|0,high,,,,,,,,,,,,,,,,,
11639,At Green Valley almost half of students scored 100%,12|12|3|3|3,high,,Non-num,num,down,Non-mono,4,10,no,high,,,,,,,,
11640,students who passed the exam got at least 75% of the questions correct,9|9|0|0|0,high,,,,,,,,,,,,,,,,,
11640,nearly all students got nearly all questions right,9|9|9|3|3,high,,Non-num,Non-num,Non-mono,Non-mono,9,9,no,high,,,,,,,,
11640,the majority of students got 100% of questions correct,12|12|12|3|3,high,,Non-num,num,up,up,6,10,no,high,,,,,,,,
11640,nearly half of students did not get any questions right,12|12|9|0|0,low,,Non-num,Non-num,down,down,4,0,yes,high,,,,,,,,
11640,the majority of students got all questions right,12|12|12|0|0,high,,Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
11640,the exam was unusually challenging for all students,0|0|0|0|0,high,,,,,,,,,,,,,,,,,
11640,"there were no students who did not get any questions right, and nearly half got at least 75% right",9|9|3|3|3,high,,Non-num,Non-num,down,down,0,0,yes,high,Non-num,num,down,up,4,7.5,no,high
11640,all students got at least 75% of questions right,9|9|9|9|9,high,,Non-num,num,up,up,10,7.5,no,high,,,,,,,,
11640,the exam was much easier than previous years and there were unusually high success rates,12|12|12|12|12,low,,,,,,,,,,,,,,,,,
11640,the majority of students got at least 75% of questions right,9|9|9|0|0,high,,Non-num,num,up,up,6,7.5,no,high,,,,,,,,
11640,the majority of students got at least a quarter of the questions wrong,12|12|9|9|9,low,,Non-num,Non-num,up,down,6,3,no,high,,,,,,,,
11645,Some of the students got all the answers correct on the exam.,12|12|3|3|3,high,,Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
11645,At least 40% of the students received a zero score on the exam.,9|9|9|0|0,low,,num,Non-num,up,down,4,0,no,low,,,,,,,,
11645,Only a few students got a full score on the exam.,12|12|9|9|9,low,,Non-num,Non-num,up,up,3,10,no,high,,,,,,,,
11645,Most of the students answered most of the questions correctly on the exam.,12|12|9|0|0,high,,Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
11645,Most of the students got at least some of the questions correct on the exam.,3|3|3|0|0,high,,Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
